17/03/01 1:30
プロジェクトの翻訳状況

            	 分節数	  単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	4033	17742	    100614	    114407	   49	
未翻訳：        	 910	 5004	     27313	     31498	    9	
繰り返しを除いた：   	3176	14802	     83315	     95010	   48	
繰り返しを除いた未翻訳：	 736	 4268	     23228	     26856	    8	


ファイルごとの翻訳状況：

ファイル名                                   	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
creative-mode_0.2.6.cfg                 	    559	    67	        541	            67	   4643	   901	       4606	           901	         24424	         4512	             24172	                 4512	         28532	         5333	             28241	                 5333	
bobores_0.14.0.cfg                      	     48	     0	         37	             0	     98	     0	         76	             0	           793	            0	               561	                    0	           817	            0	               585	                    0	
bobplates_0.14.0.cfg                    	    273	     0	        238	             0	    782	     0	        707	             0	          4553	            0	              4140	                    0	          5062	            0	              4609	                    0	
bobelectronics_0.14.0.cfg               	     30	     0	         19	             0	     70	     0	         45	             0	           463	            0	               310	                    0	           503	            0	               336	                    0	
bobmining_0.14.0.cfg                    	     43	    13	         43	            13	    138	    39	        138	            39	           967	          373	               967	                  373	          1028	          373	              1028	                  373	
bobassembly_0.14.0.cfg                  	     42	     2	         41	             2	    122	     6	        121	             6	          1008	           58	               996	                   58	          1051	           58	              1039	                   58	
boblogistics_0.14.5.cfg                 	    270	    28	        166	            14	    912	   120	        598	            60	          5279	          666	              3443	                  333	          5941	          758	              3895	                  379	
bobinserters_0.14.3.cfg                 	     13	     0	         10	             0	     48	     0	         42	             0	           305	            0	               266	                    0	           340	            0	               298	                    0	
bobgreenhouse_0.14.0.cfg                	      8	     0	          5	             0	     12	     0	          9	             0	            90	            0	                60	                    0	            94	            0	                64	                    0	
bobmodules_0.14.2.cfg                   	    104	     0	        101	             0	    338	     0	        332	             0	          1877	            0	              1849	                    0	          2111	            0	              2080	                    0	
bobpower_0.14.0.cfg                     	     73	     0	         45	             0	    243	     0	        154	             0	          1351	            0	               886	                    0	          1521	            0	               995	                    0	
bobtech_0.14.0.cfg                      	     14	     0	         12	             0	     42	     0	         38	             0	           210	            0	               196	                    0	           238	            0	               222	                    0	
